,C1(x),C1(y),C1(z),C2(x),C2(y),C2(z),O(x),O(y),O(z),H1(x),H1(y),H1(z),H2(x),H2(y),H2(z),H3(x),H3(y),H3(z),H4(x),H4(y),H4(z),H5(x),H5(y),H5(z),H6(x),H6(y),H6(z)
0,-0.3051886160478713,-0.7801964670964586,0.3740619288459958,-0.37445579020209097,0.8994351311755149,0.01835284497806967,0.1509282037732233,4.647374561917555,-1.3809383583764718,-1.4968337653193577,1.0691568306622412,-1.8300728429594508,2.0794280373444436,-1.158806290204304,-1.1571272006015625,0.8446109483000519,1.9079122476731831,1.5564757781834326,-0.5302682936293401,-2.199466765939874,-1.859863168806405,1.9421405629485333,-1.3186120709685432,1.730065426581441,-2.3854954418577234,-3.0828340277936785,2.4794692369624576
1,-0.6107735160502425,-0.807297582276268,-0.2679960501319375,-0.17801617920632257,1.3205188870640343,-0.10856924816008898,-0.16844181781757422,4.400529063095033,-1.0474319940703705,-1.0968432013992573,0.8124969877560462,-1.3228003996632938,1.832577091318526,-1.0809650780066569,-1.0673085181689441,0.8566069956466541,2.026385646181791,1.6812425930819095,-0.6056612812337882,-2.4213715651615875,-2.035243055015609,2.075035449612421,-1.4489991719892,1.9003277976287534,-2.1807292236246587,-2.792635404510644,2.2122820623945048
2,-0.7019106447645743,-0.6506967764867938,-0.9001697199920603,0.08443648626982996,1.3741257243745306,-0.198366774000193,-0.7686930593329441,3.7980677841903114,-0.4430860516015535,-0.6378948338093897,0.5077944030669965,-0.7599287719052199,1.434289068246624,-0.9149721749983292,-0.8907474684224285,0.7897494322903973,1.9477320824830326,1.6312962577777048,-0.5895926112277307,-2.425029973163854,-2.0249181124947455,2.0345835872364177,-1.456979856000341,1.8672513833300501,-1.690987868926888,-2.1416700056001186,1.692051184975187
3,-0.581777755803682,-0.3398956909949194,-1.426797449080271,0.39368729053671403,1.0686932577985213,-0.25677074494014407,-1.4931110086701043,2.9968798579207605,0.26799602097862024,-0.19624825439986088,0.1948057147500503,-0.2141465568970718,0.9397722465249359,-0.6941573570352194,-0.6472276855973175,0.6285143064628917,1.6840782000875385,1.4263106980911584,-0.4806003238120849,-2.2148090283292747,-1.832156496262181,1.8217034593603232,-1.3515611236683385,1.6374527945316106,-1.0646363294660395,-1.2810783737568943,1.0370268343714302
4,-0.2993427395093043,0.07162534250186157,-1.8026059339060732,0.7337693377070282,0.4999323855906874,-0.2909106243126058,-2.1931465761561637,2.155163679100817,0.9411747922707518,0.21013657934509758,-0.0823667743460427,0.26557601627187477,0.3936030834563593,-0.47021554644092034,-0.376598122437081,0.39494724767781136,1.29266640564744,1.0919475795670328,-0.3006558124920159,-1.8352808730590038,-1.4908835099536784,1.471578932782574,-1.162385199497364,1.2553992711856727,-0.45609686942009814,-0.42780571046552646,0.4122166945469103
5,0.07593795659617476,0.5205520799925959,-2.0252445496958233,1.0762365135350265,-0.20412407726689188,-0.3126696009957374,-2.7740337076739903,1.3757165558423794,1.4947745672220853,0.5414601558510966,-0.32375131722631567,0.6595731266389261,-0.11897520320551637,-0.25540347571516386,-0.12417186921920105,0.1284073629560072,0.8317222703330721,0.6876901644634352,-0.08753199152734892,-1.3248902391987296,-1.049699620799557,1.0345603013417488,-0.9223323107401958,0.7950387775956115,0.09473919029968712,0.35168250145699503,-0.1287897933469323
6,0.4772731646391741,0.949098081442259,-2.1174523441870323,1.3924125629355886,-0.917929369845732,-0.32790041586612834,-3.2001378534967713,0.7051489586321311,1.9004307018605342,0.8066639640888328,-0.5242283483462687,0.966442226819008,-0.5806033234032308,-0.06025765715110879,0.10459499455323017,-0.14896077083727916,0.3617384613270421,0.2641638125797495,0.1174408295418826,-0.7917903814276723,-0.5980831612917009,0.5726240121313868,-0.6746150173093036,0.3199871676795604,0.5161720079046498,0.9716403188400232,-0.5352778577561716
7,0.8527123444112532,1.3145456613332216,-2.1089165492037822,1.6648311651304446,-1.5455893760036559,-0.3378611717562795,-3.470012760362561,0.1473411990119579,2.163400646050381,1.0060645106539061,-0.676915326747943,1.1938340565383898,-0.9744794886099489,0.09749567920513812,0.3182150728080693,-0.4231491225683905,-0.050627173226534636,-0.12150563470708578,0.30721786708686105,-0.2853934627468686,-0.16577760443473766,0.1382095246708871,-0.43705778933039335,-0.12901996571255694,0.8276553892093168,1.4487353318994958,-0.8292179033054485
8,1.1699219622758665,1.5935049882347805,-2.024267762367463,1.8819037314768587,-2.038278786678072,-0.34362426452064093,-3.5962271318779857,-0.3110766132511751,2.302282423489929,1.1498455180023301,-0.7749798475016781,1.3340780089866668,-1.2744527019112843,0.21713824666809609,0.4802411391245929,-0.6531794954320777,-0.4072819075014798,-0.46634096237992856,0.4623886979667148,0.16670275238529234,0.22275324724423512,-0.26430479672585316,-0.2334816946453186,-0.5141390644221093,1.0369603024103373,1.806857037752814,-1.0181033365280718
9,1.4129840272780174,1.7759114898035664,-1.8811249260292124,2.041239233924192,-2.3775099568324918,-0.3460686339400505,-3.588885077307166,-0.6837720515732533,2.3389753716228494,1.2353942456852223,-0.8441128751157498,1.4158267352253966,-1.5000963299868444,0.3097002250273187,0.5999501002175622,-0.8381082364353005,-0.6980423424941172,-0.7475538893893363,0.5895334032590014,0.5565653077167071,0.5439694126317027,-0.5962827577194183,-0.06436151044328864,-0.8246858814097796,1.1706661305955448,2.0367355080656173,-1.131934671595216
