C1,C2,O,H1,H2,H3,H4,H5,H6
[-0.42618406 -0.22239398  0.01222474],[-0.88679623 -1.09383077  0.8910391 ],[ 2.51545035  1.57934681 -1.4948259 ],[ 0.54992259 -0.35877019  0.98787754],[-0.37283134  0.43872634  0.19873361],[ 0.10277335  0.03427422 -0.53723198],[0.29869663 0.95041479 0.95231676],[-0.76664115  0.56769758 -1.41186093],[-0.99536044 -1.86536198  0.3712726 ]
[0.64494963 0.69072833 0.21280543],[-1.17520081  1.28686     1.1564204 ],[ 1.57779397  0.19471967 -1.98967312],[-0.28911726  0.18579059  0.29274245],[ 0.53702485 -0.64378293 -0.21336841],[-0.65869131 -0.56657339 -0.38175381],[0.11236398 0.04342465 0.44095099],[-0.16817326  0.16992056 -0.61498409],[-0.58233346 -1.33741333  1.08739654]
[ 1.65480329  0.03880127 -0.71122296],[ 0.20791297  0.3523016  -0.98949208],[ 1.1389404  -0.06907107 -0.41727889],[ 0.6075337  -0.17259394  1.02910239],[-1.2568183  -0.06411638  1.12386353],[-0.96526972 -0.17102824 -0.91289173],[0.23360532 0.57975514 1.08614232],[-0.79172715  0.3589213  -0.68081838],[-0.80678931 -0.86038282  0.46450096]
[ 0.26205755 -0.55520569 -0.59540398],[ 0.31716391 -1.41308327  0.12893617],[ 1.68674648  0.5381307  -0.74604345],[-0.00776958  0.17969862  0.80514024],[-0.71114796  0.01744297  0.58901599],[-0.03460268  0.15749018 -0.39960231],[0.64518394 1.10489379 1.22933684],[-1.053554    0.94863321 -1.09113296],[-1.1017602  -0.96419394  0.0603744 ]
[-0.59684771  0.04924439 -1.13118312],[-0.56889806 -2.34290903  0.47809478],[ 2.37034983  1.86387495 -0.93402671],[ 1.27110577 -0.53316985  1.73711779],[-0.82087452  0.36232842  0.44045938],[-0.17285298  0.11976325 -0.55334944],[0.32762605 1.3092537  0.86331091],[-0.50887376  1.04271553 -1.04218482],[-1.32429112 -1.84295135  0.1767397 ]
[ 0.85686027 -0.53794912  0.47184853],[0.68129532 0.13898871 1.47186014],[ 1.34491256  0.97100083 -1.73116959],[ 0.38871346 -0.22030849 -0.10611934],[-1.11135857  0.58540077  0.31836987],[-0.33524343 -0.15443869 -0.21054669],[-0.28904762  0.24814604  0.48312885],[-0.52775099  0.46269799 -1.69161581],[-1.00395695 -1.44497699  0.98676799]
[ 1.67170703  2.05978699 -0.36901701],[-1.35064776 -1.34519827  1.06865871],[ 1.86063327  1.40998819 -1.89748014],[ 0.38169801 -0.86381788  1.01340885],[-1.10455317  0.44067053  0.93283338],[-0.74878012 -1.55102833 -1.41565351],[0.79006905 0.82917554 0.93246159],[-0.86491334  0.67864148 -1.42633341],[-0.64293348 -1.69113595  1.19876507]
[-0.45610886  0.27027285  0.09412835],[-0.53111179 -0.35199428 -0.35108842],[ 1.17469098  0.59942675 -0.88923223],[-0.21313165 -0.20776331  0.66122491],[ 0.75869697 -0.65136114 -0.01279519],[0.12162073 0.50965546 0.03231224],[0.14912455 0.42603254 0.9059173 ],[-0.6818679   0.46204817 -1.084028  ],[-0.25378881 -1.01356191  0.64768582]
[ 0.50052691 -1.60460576 -1.17265593],[-1.52250389 -1.28153661  0.60253762],[ 2.4857724   0.9693168  -1.55912091],[0.49269088 0.58957262 0.53941568],[-1.12121338  0.99163527  0.89178292],[-0.39505102  0.00576732 -0.31296463],[0.63803719 1.36904203 0.96687701],[-0.37756227  0.28783315 -0.52901905],[-0.67469138 -1.36492367  0.58841037]
[ 1.69485981 -1.49594599  1.08195149],[-1.35861085  0.47480203 -0.3127724 ],[ 1.49299308 -0.20946866 -1.41895384],[-1.00917568  0.89431512 -1.08861206],[-0.81182914  0.58135622  0.49594396],[-0.11526852 -0.14603198 -0.28689918],[0.21171584 0.74030089 0.53360678],[ 0.05412362 -0.1455222   0.46200782],[-0.16470522 -0.73337435  0.53149696]
[0.19003998 0.44364488 1.32861783],[-0.44592547 -1.96099773  0.04260607],[ 1.50247081  1.52079411 -1.16669289],[0.20592725 0.08940158 0.0595423 ],[-0.19504762 -0.01444993  0.03382251],[-0.53366601 -0.50767488 -0.84014297],[0.0281389  1.40964629 0.67882014],[-0.05903871  0.41998503 -0.4775794 ],[-0.63669188 -1.42230544  0.33277432]
[ 1.71447884 -1.3796202   0.97467933],[-1.36430358 -0.64274216 -0.44411892],[ 1.47540736  0.9752962  -1.4751207 ],[-0.38239745  0.05630382 -0.38961895],[-0.95875522  0.82166947  0.50361405],[-0.41577715 -0.23350596 -0.48262101],[0.86089227 0.81739303 1.00868598],[-0.3015455   0.9286277  -0.73041933],[-0.59935912 -1.2919465   1.02289749]
[-0.66702739 -0.39631632  0.07854926],[-0.91177196 -1.0114009   0.97090994],[ 2.44072775  1.54343517 -1.46320998],[ 0.3936408  -0.25250066  0.76428762],[-0.10978285  0.23572167  0.09464187],[ 0.19985435  0.30303423 -0.26954775],[0.25025103 0.84452333 0.86360136],[-0.69516176  0.55025958 -1.38991718],[-0.90241781 -1.79151038  0.30528769]
[ 0.04071544 -0.85462664 -0.55167099],[ 0.23623747 -1.46957064  0.27983179],[ 1.84948576  0.76466337 -0.70031558],[-0.2171587   0.31798943  0.45029878],[-0.35289333 -0.15406589  0.48074165],[ 0.05392712  0.51678956 -0.00956545],[0.64655322 1.05820429 1.16886495],[-1.0213094   0.94949935 -1.12586668],[-1.25457549 -1.11604596  0.00920704]
[ 1.61466307 -0.08613415 -0.58706241],[-0.07264553  0.55011174 -1.00087581],[ 1.49687858  0.30962546 -0.57578747],[ 0.38098479 -0.0592494   0.86082544],[-1.10099426 -0.18088416  0.98798904],[-0.85474589 -0.049644   -0.71027912],[0.20320295 0.46601791 0.93516513],[-0.568248    0.24380669 -0.49327349],[-1.08516577 -1.18528295  0.58552326]
[0.48116118 0.30211001 0.47720729],[-1.29796465  1.72473399  1.25618715],[ 1.45330745  0.1054599  -1.86443718],[-0.62499132  0.40295896 -0.08090006],[ 0.90065045 -0.76415138 -0.45950348],[-0.50072431 -0.24596343 -0.0586842 ],[-0.07332925 -0.21292903  0.05178519],[ 0.14572669 -0.07233332 -0.28018531],[-0.48136928 -1.19644927  0.93029304]
[ 0.6640863  -0.67918809  0.54803301],[0.61784286 0.34172674 1.70826979],[ 1.28914326  1.11185735 -1.76264271],[ 0.15849249 -0.06279167 -0.28041882],[-0.83301317  0.38633839  0.14893839],[-0.16221295  0.07416161  0.02946665],[-0.37637216 -0.02978485  0.20476247],[-0.36936518  0.39200145 -1.58367194],[-0.98312216 -1.48815226  0.9782965 ]
[ 1.69430591  2.05758119 -0.24088697],[-1.36746727 -1.39082786  1.13107706],[ 1.83346759  1.4555456  -1.87368322],[ 0.28466532 -0.78575524  0.91534708],[-1.00956738  0.36671476  0.86939361],[-0.74718058 -1.50925951 -1.38658928],[0.78234066 0.75833804 0.87597788],[-0.86528965  0.70372513 -1.43964246],[-0.61471566 -1.68783056  1.18074135]
[-0.88367671 -0.13099829 -1.30065291],[-0.62178772 -2.35020003  0.52934333],[ 2.39573347  1.98841004 -0.910447  ],[ 1.22158721 -0.50211044  1.67416487],[-0.61720129  0.23619035  0.34410171],[-0.01817689  0.41812791 -0.22553419],[0.32497788 1.26825022 0.83270475],[-0.43341049  0.99283148 -1.04455874],[-1.37086193 -1.88155956  0.15570715]
[ 0.36503929 -1.6175475  -1.04452944],[-1.76494408 -1.15137576  0.57951748],[ 2.34666706  0.76134048 -1.47454164],[0.27934366 0.6401043  0.26503015],[-0.90836396  0.80935813  0.7505737 ],[-0.22335213  0.27687039 -0.09776568],[0.60982804 1.24424709 0.83015351],[-0.14259122  0.12145142 -0.27642602],[-0.55140638 -1.12003738  0.48572003]
[-0.50847966 -0.07899019  0.3772365 ],[-0.64740086 -0.16488077 -0.31288966],[ 0.87541058  0.47972832 -0.62776769],[-0.51272745 -0.02184836  0.2399487 ],[ 1.06205746 -0.78828711 -0.19873278],[0.21492545 0.80915401 0.334506  ],[0.11271662 0.21957583 0.70751128],[-0.51785662  0.39301176 -0.8931242 ],[-0.02208378 -0.81487492  0.38957877]
[ 1.6127208  -1.74726972  1.19713163],[-1.57177283 -0.39394474 -0.58300555],[ 1.6991927   1.43430259 -1.82508295],[-0.67900147  0.45325898 -0.63771566],[-0.7724828   0.6185645   0.31658135],[-0.21988763 -0.07816758 -0.22263743],[0.84778312 0.71660711 0.88803309],[-0.07808052  0.71765984 -0.52300805],[-0.80180596 -1.7016455   1.39521071]
[ 1.44783855 -1.58114101  1.13737006],[-1.78307673  0.80969215 -0.35832877],[ 1.29012242 -0.41289665 -1.07221624],[-1.2155902   1.09490456 -1.25251523],[-0.47373255  0.32570362  0.21365112],[0.09593299 0.09656204 0.02259833],[0.1230325  0.51464551 0.33544274],[ 0.47252766 -0.42458558  0.79634042],[ 0.02228146 -0.45464642  0.1683824 ]
[-0.22488391 -1.16410569 -0.45171158],[ 0.15986588 -1.45680326  0.43203898],[ 1.84999064  0.85283048 -0.64784828],[-0.43288046  0.46751907  0.03815882],[ 0.06340479 -0.33895597  0.3461183 ],[0.14151463 0.88200532 0.41108916],[0.62016118 0.96553254 1.05843646],[-0.94536635  0.91284637 -1.13137861],[-1.2444334  -1.12510488 -0.03762472]
[ 1.50786921 -0.25795444 -0.41263221],[-0.36487697  0.80355745 -1.01466914],[ 1.71943126  0.57332698 -0.66783196],[0.11724208 0.08799352 0.65440694],[-0.88155612 -0.31779145  0.79746559],[-0.70901     0.10428406 -0.47105635],[0.15461138 0.30909063 0.74337809],[-0.30552771  0.10003504 -0.26577645],[-1.24165786 -1.3964483   0.64342174]
[0.05049314 0.30019161 1.47876087],[-0.78292815 -1.678722   -0.16951197],[ 1.15387305  1.331719   -1.01343808],[-0.06409967  0.22163549 -0.18301655],[ 0.10502812 -0.19361512 -0.14722954],[-0.37608214 -0.26041927 -0.60306459],[0.00770656 1.20623668 0.56539179],[ 0.32130419  0.2004985  -0.13119955],[-0.38078804 -1.14754518  0.19722032]
[ 0.39792524 -0.80701369  0.65446669],[0.53383121 0.58361611 1.89134109],[ 1.08784777  1.09038863 -1.65487439],[-0.08393007  0.1106474  -0.45866539],[-0.48077978  0.14027552 -0.06610905],[0.02941184 0.32159605 0.28685289],[-0.46639311 -0.32709533 -0.08630304],[-0.16847334  0.29175543 -1.40907019],[-0.82150961 -1.35839168  0.84304256]
[-0.90810689 -0.59364706  0.19311694],[-0.92780642 -0.86175296  1.03237654],[ 2.17708032  1.3604939  -1.35375823],[ 0.20773635 -0.12424987  0.49078708],[ 0.19435798  0.00696379 -0.02783946],[0.30397119 0.58963086 0.03611337],[0.18288041 0.69181549 0.73694285],[-0.59354326  0.50736979 -1.31458962],[-0.63767893 -1.56419208  0.1782548 ]
[ 0.32385616 -0.16541203  0.66474541],[-1.42845301  2.21042914  1.32864964],[ 1.26640565 -0.10100118 -1.61372721],[-0.96192697  0.61490842 -0.45971145],[ 1.2234348  -0.87336254 -0.67375848],[-0.30543205  0.12560825  0.3149679 ],[-0.28093771 -0.50811442 -0.37117687],[ 0.48726362 -0.3364302   0.10368124],[-0.32427539 -0.93590188  0.65727175]
[-1.18172071 -0.33384538 -1.41274188],[-0.66100381 -2.27298099  0.5697214 ],[ 2.16431689  1.92309286 -0.83689305],[ 1.12676226 -0.45106121  1.54551782],[-0.36815056  0.07618393  0.22043544],[0.15298976 0.73391783 0.12626363],[0.30718173 1.17063445 0.75768267],[-0.32828882  0.90036943 -1.00895379],[-1.18942097 -1.72884931  0.08308197]
[ 0.17660422 -1.59105853 -0.85371801],[-2.00411339 -0.93866788  0.54453267],[ 2.14863421  0.44060731 -1.34110916],[ 0.04940165  0.70409917 -0.03581798],[-0.61494875  0.55997072  0.56336008],[-0.0425412   0.54999556  0.11876931],[0.55197936 1.05147156 0.65536515],[ 0.12374545 -0.05053741  0.00311269],[-0.38122049 -0.75125058  0.34470682]
[ 1.65293261  1.98126002 -0.07401059],[-1.36271094 -1.36920246  1.16310982],[ 1.66892015  1.34451711 -1.66819746],[ 0.16140594 -0.67869503  0.76700793],[-0.86071408  0.26886943  0.76894207],[-0.71254295 -1.40961375 -1.30030689],[0.74705104 0.65410281 0.78619957],[-0.82866524  0.70230445 -1.40547275],[-0.46742828 -1.51917321  0.99251521]
[ 1.39003414 -2.05876556  1.40533931],[-1.76063336 -0.06750486 -0.7278614 ],[ 1.80447012  1.70886559 -1.98952762],[-0.96776218  0.82718418 -0.85896451],[-0.5100079   0.35083898  0.07949067],[0.01491736 0.10324344 0.08032727],[0.7885718  0.60061842 0.72445474],[ 0.15804536  0.45498956 -0.28866398],[-0.89258954 -1.91944886  1.58895678]
[ 1.32692961 -0.46887334 -0.18938849],[-0.65794459  1.10708006 -1.0282232 ],[ 1.75997074  0.69408599 -0.6750179 ],[-0.16600498  0.25025018  0.40119604],[-0.60125055 -0.47613835  0.54533588],[-0.52302569  0.28323297 -0.19347105],[0.08220925 0.11488731 0.52868058],[-0.0191751  -0.072959    0.00173064],[-1.23173063 -1.45007885  0.62377238]
[-0.46693857 -0.46090565  0.68521047],[-0.77576283  0.08691215 -0.28872611],[ 0.53429974  0.33253068 -0.32411233],[-0.82238746  0.18794635 -0.22188771],[ 1.28794972 -0.88476007 -0.36190409],[0.31007854 1.07845587 0.61510538],[ 0.05642764 -0.03156442  0.45684961],[-0.31315481  0.3026712  -0.64918916],[ 0.24293237 -0.59028191  0.09092127]
[ 1.01097219 -1.50942451  1.1337725 ],[-2.16072801  1.17706835 -0.35897651],[ 1.07549642 -0.60983516 -0.70960693],[-1.3119083   1.19389357 -1.31500731],[-0.05607205  0.00975986 -0.13060878],[0.32221877 0.34758772 0.32977877],[0.00486386 0.24514796 0.10465651],[ 0.88094329 -0.70818013  1.12106266],[ 0.20879809 -0.17516056 -0.20557264]
[-0.51866204 -1.44777367 -0.29009115],[ 0.09056876 -1.36962435  0.59250511],[ 1.67584836  0.81305101 -0.59307478],[-0.64704998  0.62817262 -0.39974649],[ 0.52982722 -0.54258368  0.17821555],[0.23118827 1.23274778 0.79464892],[0.55686822 0.82799367 0.88871513],[-0.82790906  0.84259483 -1.09355715],[-1.07238413 -1.01324537 -0.07776954]
[ 0.06511384 -0.89775689  0.79137193],[0.41759647 0.85134193 1.99298   ],[ 0.76436514  0.94151489 -1.43158658],[-0.32909816  0.28645536 -0.62544182],[-0.08392443 -0.14128959 -0.33219397],[0.22299892 0.56961312 0.54221211],[-0.55189044 -0.63552879 -0.37831134],[ 0.06315675  0.16529875 -1.16685697],[-0.56202081 -1.0888727   0.61235818]
[-0.12060386  0.10621581  1.59055757],[-1.13486136 -1.30772127 -0.40977481],[ 0.72661064  1.06627597 -0.82405126],[-0.34156238  0.35063088 -0.43052129],[ 0.39436399 -0.38459047 -0.33562468],[-0.18166392  0.03524248 -0.32353574],[-0.03038017  0.95808256  0.41306862],[ 0.77248712 -0.0691293   0.28188235],[-0.05483735 -0.79578783  0.03556608]
[-1.12431744 -0.8023201   0.36441514],[-0.93721079 -0.64088641  1.0726334 ],[ 1.7780387   1.07776575 -1.19208531],[-0.01666858  0.02412902  0.15418087],[ 0.51980264 -0.22507217 -0.15707379],[0.40777662 0.87046898 0.32916597],[0.10163966 0.50486351 0.57018932],[-0.46520551  0.44444324 -1.18951691],[-0.25938292 -1.23869074  0.01681288]
[-0.06997176 -1.5030391  -0.59738556],[-2.22256287 -0.64669951  0.51554987],[ 1.92141034  0.06705284 -1.18209143],[-0.1935765   0.77056582 -0.35918187],[-0.23766213  0.26128651  0.33401869],[0.13940994 0.8078614  0.33472425],[0.46921434 0.78309875 0.43344459],[ 0.4144462  -0.24604025  0.33252331],[-0.18451353 -0.3299753   0.18526459]
[ 1.03219128 -2.25782534  1.58176783],[-1.92006409  0.32944046 -0.86930454],[ 1.75679533  1.76528448 -1.92139286],[-1.19959748  1.13391755 -1.02724853],[-0.19955566  0.04632903 -0.21331666],[0.27091389 0.29937792 0.38979546],[0.6944523  0.43298091 0.51762337],[ 0.44150344  0.14930037 -0.00500383],[-0.84874998 -1.90253863  1.55105157]
[ 0.18902074 -0.67867395  0.72873079],[-1.56866628  2.70890215  1.37308386],[ 1.04303473 -0.37395056 -1.28683925],[-1.26458487  0.81109474 -0.80351354],[ 1.44623313 -0.95207058 -0.83209334],[-0.07882637  0.53254066  0.72828291],[-0.4869809  -0.80452616 -0.7678185 ],[ 0.85443285 -0.60587668  0.50676881],[-0.14117896 -0.61223172  0.32765115]
[1.54267051 1.82695028 0.12630595],[-1.33551319 -1.2761019   1.16639081],[ 1.39637477  1.11502098 -1.31961729],[ 0.01124537 -0.5309531   0.5742143 ],[-0.65624411  0.14137638  0.62997969],[-0.64212043 -1.26214899 -1.15635292],[0.68898411 0.50877809 0.65547479],[-0.75439147  0.67165029 -1.31737444],[-0.23113958 -1.22079383  0.66895639]
[-1.46757801 -0.54266133 -1.42928949],[-0.68676596 -2.10823706  0.59711143],[ 1.72684213  1.70489467 -0.71651019],[ 0.9720557  -0.36286197  1.33886086],[-0.08389092 -0.10771224  0.06898989],[0.31618654 1.04381535 0.47026754],[0.26469854 1.01861544 0.6368154 ],[-0.20266717  0.78464796 -0.92643985],[-0.80651971 -1.42620634 -0.02328422]
[ 1.06760575 -0.70385533  0.07553923],[-0.93497246  1.44767907 -1.03395036],[ 1.60866794  0.67562754 -0.59512409],[-0.4652459   0.43356379  0.12791706],[-0.24292772 -0.6545501   0.2387661 ],[-0.30189008  0.48802225  0.11003256],[-0.00415645 -0.10713349  0.25795889],[ 0.30829341 -0.26156972  0.29994111],[-1.0408362  -1.35127704  0.5235173 ]
[-0.30519811 -0.8403567   0.99433089],[-0.91702906  0.39910335 -0.28476025],[ 0.18185525  0.18296239 -0.01485995],[-1.13014685  0.40190014 -0.70840088],[ 1.40752496 -0.93043827 -0.46253817],[0.38374414 1.28728609 0.84778261],[-0.00885076 -0.32484125  0.16188364],[-0.07364924  0.18905713 -0.34830953],[ 0.50483223 -0.36415657 -0.20019841]
[-0.30681611 -0.14131555  1.63185034],[-1.47278158 -0.85590507 -0.64051317],[ 0.27142627  0.77507252 -0.62181665],[-0.59414688  0.46938449 -0.65761651],[ 0.6682869  -0.56045397 -0.51524772],[ 0.03737356  0.37660672 -0.00417867],[-0.09032308  0.63265516  0.2139056 ],[ 1.21160957 -0.32506123  0.71713411],[ 0.2847247  -0.42115619 -0.12224417]
[ 0.4024071  -1.2634446   1.07636257],[-2.44051699  1.53536218 -0.27999035],[ 0.87310565 -0.77091601 -0.36648171],[-1.28486709  1.16340237 -1.2572897 ],[ 0.40311754 -0.34155012 -0.51864308],[0.54585257 0.60896901 0.64075926],[-0.13683191 -0.05815044 -0.16673146],[ 1.21653533 -0.95699257  1.39084065],[ 0.38321861  0.07188456 -0.56203448]
[-0.81284471 -1.6617962  -0.07173951],[ 0.02732027 -1.19650351  0.75781721],[ 1.34551846  0.68179204 -0.53669862],[-0.84715179  0.77486045 -0.82253719],[ 0.99920861 -0.73721904  0.00513533],[0.30510416 1.5185099  1.12949959],[0.46163924 0.65724102 0.66949778],[-0.6679978   0.72737513 -1.01055956],[-0.7591202  -0.79865447 -0.10265303]
[-1.28960716 -1.00552748  0.59619969],[-0.94453604 -0.34656286  1.08746397],[ 1.31123193  0.74959112 -1.00730156],[-0.2808223   0.19764868 -0.21723145],[ 0.82930388 -0.4361903  -0.28223966],[0.49504456 1.1229096  0.58435466],[-0.00139719  0.2740144   0.36706321],[-0.28473814  0.35111421 -1.00508668],[ 0.16776122 -0.862516   -0.16017196]
[-0.31438183 -0.92783251  0.95247702],[0.25977415 1.12236483 1.98234407],[ 0.36344813  0.720552   -1.13461928],[-0.54851464  0.44053475 -0.77069747],[ 0.35988917 -0.45754017 -0.62505563],[0.40784157 0.79948342 0.77767864],[-0.62596144 -0.92680002 -0.65646598],[ 0.33437961  0.00339945 -0.84247524],[-0.23248098 -0.73754855  0.32059166]
[-0.37596807 -1.32280185 -0.27749542],[-2.39802197 -0.28958506  0.53312878],[ 1.69044599 -0.30557647 -1.01841698],[-0.42612934  0.83235641 -0.67533288],[ 0.20575242 -0.08976017  0.04904361],[0.29827283 1.03926667 0.53678892],[0.35194111 0.4481412  0.15522386],[ 0.68480734 -0.42396302  0.67169934],[0.00561014 0.09860707 0.02736517]
[ 0.5499188  -2.29878964  1.71298294],[-2.03425242  0.77925787 -0.98992848],[ 1.56055706  1.6174856  -1.62642398],[-1.32956032  1.32461122 -1.10522011],[ 0.13344767 -0.2662284  -0.5486877 ],[0.53184916 0.47730919 0.69994925],[0.56801801 0.23246333 0.26448515],[ 0.73574696 -0.20052953  0.31153468],[-0.67409311 -1.66023769  1.2920618 ]
[ 0.0956144  -1.18982674  0.62819308],[-1.71145899  3.15929502  1.39284676],[ 0.80659715 -0.6660328  -0.9306105 ],[-1.49356346  0.96767559 -1.07906121],[ 1.5448744  -0.98097095 -0.90808098],[0.16247576 0.93933141 1.14470019],[-0.67012289 -1.07450268 -1.14985921],[ 1.19223293 -0.86303638  0.89215035],[ 0.05691639 -0.26677879 -0.02921669]
[1.35806561 1.58979459 0.34784427],[-1.28893861 -1.10557433  1.14173629],[ 1.06234321  0.82135211 -0.8886918 ],[-0.16890814 -0.35269798  0.34415603],[-0.39958845 -0.01200478  0.45141895],[-0.533592   -1.0485209  -0.95264038],[0.60372257 0.31346317 0.48798424],[-0.64598748  0.60882725 -1.174573  ],[ 0.04882802 -0.85384298  0.27511028]
[ 0.73508753 -0.93899146  0.3653337 ],[-1.17566543  1.80099561 -1.01895069],[ 1.29621396  0.55081337 -0.44366339],[-0.76071412  0.61887029 -0.14449468],[ 0.14915958 -0.83559277 -0.09566155],[-0.0578665   0.70128734  0.43026264],[-0.10810235 -0.33427347 -0.03807412],[ 0.61945831 -0.44511681  0.59270939],[-0.69749447 -1.13429495  0.35762636]
[-0.49926486 -0.42749305  1.5771569 ],[-1.75834426 -0.34825301 -0.81361426],[-0.16760322  0.50034409 -0.42591234],[-0.81466117  0.56112096 -0.85490155],[ 0.89668999 -0.70934248 -0.66450678],[0.2835149  0.75408605 0.33331285],[-0.15107467  0.24752137 -0.02665949],[ 1.63360159 -0.57151728  1.13753679],[ 0.59736777 -0.06444751 -0.26955377]
[-0.02347608 -1.16878861  1.27292463],[-1.07009609  0.75623264 -0.30730914],[-0.15371434  0.05938046  0.27184713],[-1.40718558  0.58674157 -1.16042805],[ 1.40053635 -0.92730428 -0.48971183],[0.42715321 1.40995104 0.99820293],[-0.08862227 -0.63519379 -0.13245199],[0.19916127 0.05406701 0.00602554],[ 0.745636   -0.16792806 -0.45710617]
[-0.31732251 -0.85739268  0.98142707],[-2.58259013  1.82144132 -0.08961467],[ 0.70002776 -0.88131157 -0.06463842],[-1.14300915  1.01353485 -1.0892034 ],[ 0.86919069 -0.71712766 -0.94000861],[0.75544804 0.85192363 0.92230292],[-0.30358146 -0.36136646 -0.45128668],[ 1.44943686 -1.13232507  1.56430733],[ 0.5280093   0.2729119  -0.86496905]
[-1.70145132 -0.73647768 -1.30649561],[-0.69965909 -1.85185869  0.6104548 ],[ 1.16711109  1.39709668 -0.56070833],[ 0.74946117 -0.23081251  1.04442678],[ 0.21705195 -0.2964584  -0.09005229],[0.46254355 1.30564247 0.76970653],[0.20315917 0.82837875 0.47580607],[-0.04058259  0.62648583 -0.79725515],[-0.31980582 -1.03662278 -0.14291294]
[-1.37838872 -1.17969544  0.87941707],[-0.95578943  0.01897291  1.07146414],[ 0.83723996  0.42101171 -0.82343863],[-0.54893327  0.36906149 -0.60582924],[ 1.0934808  -0.61569095 -0.38863639],[0.55665763 1.30344207 0.78873423],[-0.11751814 -0.01056485  0.10986919],[-0.06776688  0.22497409 -0.75973249],[ 0.58794162 -0.48593563 -0.32023918]
[-1.07070207 -1.76149792  0.18243239],[-0.03232043 -0.92942758  0.9214498 ],[ 0.90331439  0.50795781 -0.47940357],[-1.01629858  0.89051184 -1.18994362],[ 1.41676576 -0.91355905 -0.15132332],[0.34560572 1.70049431 1.35350278],[0.33053953 0.43954707 0.39293975],[-0.48034182  0.5706969  -0.86972659],[-0.35125472 -0.52658188 -0.12478138]
[-0.73737539 -1.01268639  0.08940934],[-2.51164976  0.11664079  0.62387394],[ 1.47072386 -0.64419261 -0.87232258],[-0.63532866  0.87194633 -0.93803191],[ 0.71392008 -0.48236374 -0.27195738],[0.40370482 1.20276684 0.69435896],[ 0.20478712  0.04078319 -0.17972432],[ 0.92916792 -0.57799685  0.97317107],[ 0.18001923  0.49366319 -0.11515241]
[-0.01504366 -2.16484796  1.79311687],[-2.08354395  1.24991614 -1.06491553],[ 1.25548242  1.3217952  -1.15806755],[-1.34834031  1.35727483 -1.0785267 ],[ 0.47891082 -0.59707847 -0.90604043],[0.76279569 0.64007412 0.97525964],[ 0.39100072  0.01106972 -0.03997878],[ 1.00510578 -0.55820467  0.60107395],[-0.40832356 -1.26346496  0.86507374]
[-0.70260949 -0.8791167   1.12143814],[0.05049862 1.36435783 1.83233716],[-0.06502497  0.48166076 -0.80864764],[-0.7126712   0.56141776 -0.86789203],[ 0.79663512 -0.76356539 -0.90731855],[0.56304406 0.98351123 0.96319536],[-0.67999986 -1.15198952 -0.89366972],[ 0.6485113  -0.18607318 -0.43914262],[ 0.12238778 -0.36699107  0.00539244]
[ 0.05142979 -1.62648641  0.35279729],[-1.84468411  3.4812021   1.38845397],[ 0.57907238 -0.93637133 -0.5846336 ],[-1.61073113  1.04682027 -1.23276758],[ 1.50939052 -0.96021412 -0.89397369],[0.378718   1.30303993 1.52456066],[-0.80808321 -1.2740783  -1.43039459],[ 1.47221497 -1.07297628  1.21767027],[ 0.23903653  0.0598573  -0.35834564]
[1.09520649 1.26696839 0.5689463 ],[-1.23115567 -0.85139272  1.08843347],[ 0.71203692  0.51373924 -0.435488  ],[-0.36909503 -0.14465356  0.07242162],[-0.10401649 -0.19304081  0.24189458],[-0.37856766 -0.75032807 -0.68187695],[0.48475203 0.08313604 0.26529358],[-0.50945492  0.51400019 -0.97599769],[ 0.32296965 -0.47667496 -0.12055348]
[ 0.34613534 -1.14062566  0.65608485],[-1.36152647  2.13254279 -0.96721494],[ 0.88201015  0.3694928  -0.24854884],[-1.02078678  0.77914575 -0.38689113],[ 0.55251266 -1.01984572 -0.46234231],[0.18200897 0.90332483 0.75780014],[-0.22296178 -0.56450133 -0.32548623],[ 0.88028798 -0.61314017  0.85412872],[-0.27489393 -0.85736335  0.15958993]
[-1.03530913 -0.33470693  0.86177482],[-2.57026213  1.9718085   0.22975573],[ 0.5583912  -0.93461388  0.18175597],[-0.91618193  0.77421084 -0.83854264],[ 1.29378115 -1.06499075 -1.3432322 ],[0.92316264 1.03156289 1.1220367 ],[-0.46196829 -0.66113579 -0.72541637],[ 1.5328528  -1.19833293  1.59986907],[ 0.64359204  0.4202458  -1.08662037]
[ 0.34904488 -1.3940145   1.48425562],[-1.23106256  1.12984229 -0.3588168 ],[-0.45318973 -0.02466607  0.51926303],[-1.60722616  0.72476644 -1.51217059],[ 1.26860517 -0.86373397 -0.46862963],[0.43087542 1.42415393 1.0564577 ],[-0.16412144 -0.93917258 -0.43223159],[ 0.48273453 -0.09516784  0.3903385 ],[ 0.94114147 -0.01023641 -0.66809795]
[-1.37139354 -1.29972512  1.18809687],[-0.9779992   0.44353383  1.01713995],[ 0.40134182  0.12308748 -0.65719136],[-0.79090103  0.52516802 -0.95047955],[ 1.27730865 -0.75199397 -0.46357725],[0.57652392 1.39199986 0.91074905],[-0.24907943 -0.31947729 -0.16577984],[ 0.17458548  0.06647517 -0.45447734],[ 0.95686626 -0.14831947 -0.44938739]
