C1,C2,O,H1,H2,H3,H4,H5,H6
[-0.3737173  -0.73439239 -0.05441275],[-0.42759584  0.88048075  1.0577985 ],[ 0.00434439  1.93492981 -0.51649515],[-1.02201561  0.62186717 -1.16889238],[ 1.33287731 -0.83055043 -0.71856147],[0.69170834 1.47961003 1.32271575],[-0.42203427 -1.61212294 -1.38928684],[ 0.81056866 -0.50994661  0.61974529],[-0.6383641  -1.24992579  0.75104177]
[ 0.09968068 -0.30670273  0.30489108],[-0.85579332  0.77917476  0.32875239],[-0.26725628  1.86772339 -0.30265025],[-1.10300462  0.69905301 -1.30724231],[ 1.24993095 -0.79476482 -0.68832109],[0.44897781 1.03466799 0.96508661],[-0.35275587 -1.36663501 -1.24951945],[ 1.27889353 -0.81173195  1.19841076],[-0.58015193 -1.11457208  0.67595827]
[-1.02047445 -0.11902834 -0.01586526],[-0.49980179  0.51013198  0.8696871 ],[-0.15700571  2.150502   -0.56154562],[-0.72302226  0.44989547 -0.76465125],[ 1.76813217 -1.09466298 -0.96958609],[0.58870073 1.33283441 1.16911846],[-0.32977138 -1.37157078 -1.23092714],[ 0.93101475 -0.54688266  0.65299169],[-0.62297329 -1.31051794  0.77112148]
[-0.54591191 -0.27942812  0.29988838],[-1.2815815   0.57735675  0.08255047],[ 0.31411236  2.42787524 -0.79961938],[-1.08465731  0.69045412 -1.20093068],[ 1.72675606 -1.0449292  -0.90969531],[0.59102768 1.27596978 1.11987795],[-0.20180017 -1.11838471 -1.05540071],[ 1.33674466 -0.85319507  1.29691838],[-0.91996604 -1.69167108  1.09153348]
[ 0.33838739 -0.36826728  0.87496391],[-0.82397321  1.00485977  0.48229231],[-0.18569451  1.68378221 -0.31019468],[-1.39981484  0.88667732 -1.65377651],[ 1.30391445 -0.79733335 -0.70659666],[0.40699486 0.85455192 0.84168919],[-0.38549108 -1.46591227 -1.28490113],[ 1.16833555 -0.77275643  1.06698657],[-0.50121924 -1.02519139  0.59116926]
[-0.73447974 -0.03587048 -0.17529303],[-0.61006197  0.67573421  0.86264785],[ 0.34993362  2.55413896 -1.03420485],[-0.71855797  0.4913614  -0.78823439],[ 1.58420395 -0.98529328 -0.85076306],[0.54827117 1.22949697 1.07659217],[-0.4131212  -1.4188484  -1.26412024],[ 1.01085052 -0.66725045  0.86583612],[-1.07557284 -1.85809515  1.24377917]
[-0.66329248 -1.00568172  0.08110775],[-0.89052759  0.96303683  0.135278  ],[-0.27943434  1.75738687 -0.37758754],[-1.09616981  0.74419345 -1.32202474],[ 1.56552286 -0.96179207 -0.87779699],[0.78158376 1.75229546 1.50996752],[-0.38141302 -1.31001194 -1.21012572],[ 1.40671551 -0.89390012  1.34059215],[-0.50844428 -1.04857227  0.63474641]
[-0.03743965 -0.01558066  0.35315402],[-1.06680134  1.1606483   0.40754045],[ 0.12879418  2.17880572 -0.64062173],[-0.88843304  0.53350041 -1.09229812],[ 1.22008265 -0.74132492 -0.69758528],[0.38873462 0.82441277 0.802021  ],[-0.45623896 -1.56802468 -1.40882857],[ 1.40893793 -0.90764479  1.32570584],[-0.76291852 -1.46360031  0.86242034]
[-0.95935185  0.06626118  1.13102715],[-0.10502905  0.8187345   0.60914828],[-0.27839955  2.26733719 -0.3837701 ],[-1.15140952  0.59587354 -1.32926577],[ 2.12601206 -1.30520041 -1.18253011],[0.49547342 0.9757203  1.02091165],[-0.4413864  -1.57448632 -1.35052   ],[ 0.89003127 -0.50018647  0.66668556],[-0.62916743 -1.32621716  0.76540769]
[-0.42477455 -0.8122938  -0.40527452],[0.02830367 0.88532297 1.56946595],[-0.11432486  1.5818115  -0.28755163],[-0.87059906  0.49208182 -0.96430992],[ 1.12815947 -0.71861469 -0.58627749],[0.73215848 1.51993101 1.39040963],[-0.44142747 -1.75179815 -1.45977377],[ 0.36692482 -0.26611152  0.15219453],[-0.43103504 -0.95188845  0.5106675 ]
[ 0.29162737 -0.42779083  0.14329927],[-0.98348535  0.94958148  0.48866539],[-0.20298981  1.8190067  -0.46048742],[-0.94135185  0.66446073 -1.28472118],[ 0.78611327 -0.51199052 -0.50922819],[0.39792745 0.87553166 0.87122456],[-0.366416   -1.36930936 -1.33252014],[ 1.44343502 -0.90596578  1.38446953],[-0.49738403 -1.08053198  0.63910229]
[-0.62823083  0.00897284 -0.03398191],[-0.72939153 -0.07446305  1.32662398],[ 0.2860648   2.51279628 -0.85847365],[-0.80981504  0.46072608 -1.05129232],[ 1.63014066 -0.87012122 -0.94333646],[0.66567853 1.16655496 1.13859132],[-0.23710043 -1.12818053 -1.11082933],[ 0.7121908  -0.35191616  0.41524202],[-0.96472586 -1.73949517  1.06235597]
[-0.1383789  -0.69849363 -0.47422823],[-0.58195932 -0.70747761  0.03816812],[-0.12379072  2.37443724 -0.51035874],[-0.59692824  0.39309001 -0.82550428],[ 0.63393272 -0.37479041 -0.35876418],[0.64429441 1.28186707 1.10466116],[ 0.03384717 -0.46745671 -0.54651468],[ 0.76712735 -0.38665435  0.61648807],[-0.70739549 -1.42985056  0.88400088]
[-0.73935993  0.04348625  0.25143877],[-1.5661983   0.25820328 -0.19237574],[ 0.44942633  2.50320846 -0.79621707],[-0.99114321  0.62378976 -1.01572565],[ 1.87042971 -1.12097276 -0.95346391],[0.54684986 1.13899964 1.00304834],[-0.0255961  -0.82462119 -0.85195719],[ 1.33652748 -0.86190547  1.37170971],[-0.94312943 -1.74991345  1.13090334]
